target_id	length	eff_length	est_counts	tpm
AT1G74830.1	1711	1532	3	2.56491
AT1G73805.1	1690	1511	1	0.866853
AT1G51260.1	1344	1165	0	0
AT1G09460.1	1263	1084	7.86918	9.50846
AT1G43920.1	686	507	0	0
AT1G31817.1	1216	1037	14	17.6831
AT1G51240.1	384	205	0	0
AT1G65860.1	1591	1412	5	4.63815
AT1G54460.1	1465	1286	19	19.3519
AT1G51220.1	1303	1124	0	0
AT1G09483.1	339	160	0	0
AT1G15920.2	1629	1450	9	8.12988
AT1G75000.1	846	667	1	1.96374
AT1G43897.1	510	331	0	0
AT1G09486.1	1302	1123	1.00486	1.17202
AT1G09690.1	759	580	250.835	566.46
AT1G36775.1	2223	2044	0	0
AT1G51230.1	409	230	0	0
AT1G09700.1	1688	1509	14	12.152
AT1G42377.1	2121	1942	0	0
AT1G10830.1	1308	1129	14	16.2422
AT1G43900.1	1249	1070	19	23.2584
AT1G49710.1	2004	1825	19	13.6364
AT1G50980.1	1113	934	0	0
AT1G09480.1	1110	931	2	2.81378
AT1G49630.1	3582	3403	16	6.1584
AT1G42280.1	370	191	0	0
AT1G14550.1	966	787	0	0
AT1G21340.1	783	604	1	2.16857
AT1G07440.1	1005	826	32	50.7434
AT1G47950.1	6466	6287	0	0
AT1G14560.1	1826	1647	10	7.95273
AT1G07450.1	975	796	2	3.29099
AT1G69190.1	1699	1520	0	0
AT1G07430.1	1817	1638	4	3.19857
AT1G16280.1	1476	1297	12	12.1186
AT1G49430.1	2327	2148	22	13.4152
AT1G07460.1	777	598	0	0
AT1G47930.1	1041	862	0	0
AT1G47920.1	1140	961	0	0
AT1G14570.2	1793	1614	24	19.4768
AT1G14540.1	1219	1040	1	1.25944
AT1G07470.1	1538	1359	19.8579	19.1392
AT1G47940.1	843	664	0	0
AT1G23120.1	713	534	0	0
AT1G13200.1	1308	1129	0	0
AT1G23130.1	772	593	250	552.198
AT1G69180.1	934	755	0	0
AT1G16270.1	3953	3774	28	9.71776
AT1G13195.1	1224	1045	5	6.26706
AT1G42060.1	2727	2548	0	0
AT1G69110.1	259	80.003	0	0
AT1G69120.1	1228	1049	0	0
AT1G55680.1	1960	1781	61	44.8617
AT1G13190.1	2179	2000	25	16.3727
AT1G70530.1	1941	1762	23	17.0975
AT1G21323.1	387	208	0	0
AT1G73240.1	2022	1843	3	2.13209
AT1G73230.1	901	722	84	152.388
AT1G17580.1	4960	4781	26	7.12303
AT1G16250.1	1824	1645	14	11.1474
AT1G69160.1	1375	1196	57	62.4243
AT1G69170.1	1829	1650	6	4.76296
AT1G21330.1	981	802	0	0
AT1G70520.1	2194	2015	16	10.4005
AT1G16260.1	2387	2208	4	2.37285
AT1G21326.1	720	541	0	0
AT1G69150.1	1554	1375	0	0
AT1G14580.1	1950	1771	10	7.39591
AT1G69140.1	353	174	0	0
AT1G70540.1	741	562	0	0
AT1G13210.1	4065	3886	13	4.38178
AT1G73220.1	1857	1678	1	0.780581
AT1G07500.1	225	46.6066	0	0
AT1G76070.1	1230	1051	4	4.98502
AT1G07490.1	642	463	0	0
AT1G70505.1	1077	898	1	1.45859
AT1G13245.1	579	400	96	314.356
AT1G21380.1	1956	1777	22	16.2161
AT1G76080.1	1257	1078	134	162.816
AT1G21370.1	1612	1433	14	12.7965
AT1G13250.1	1441	1262	9	9.34099
AT1G13260.1	1575	1396	43	40.3453
AT1G21395.1	375	196	0	0
AT1G73177.1	432	253	6	31.0628
AT1G73175.1	1536	1357	0	0
AT1G70510.1	1368	1189	1	1.10161
AT1G55860.1	12134	11955	62.7847	6.87883
AT1G73180.1	1912	1733	19	14.3603
AT1G21390.1	1164	985	8	10.6381
AT1G70500.1	1407	1228	0	0
AT1G76060.1	751	572	17.1358	39.239
AT1G73190.1	1179	1000	5	6.54907
AT1G42040.1	570	391	0	0
AT1G76090.1	1373	1194	23	25.2309
AT1G47910.1	3429	3250	0	0
AT1G73210.1	1814	1635	4	3.20444
AT1G49800.1	575	396	0	0
AT1G47900.1	3391	3212	18	7.34018
AT1G47915.1	222	43.8484	0	0
AT1G14530.1	1454	1275	6	6.16383
AT1G42050.1	3209	3030	0	0
AT1G07473.1	924	745	0	0
AT1G16290.1	1445	1266	0	0
AT1G47890.1	3060	2881	0	0
AT1G13230.1	1428	1249	0	0
AT1G76110.1	1383	1204	19	20.6698
AT1G76100.1	782	603	130	282.381
AT1G73200.1	2485	2306	23	13.0641
AT1G07476.1	747	568	0	0
AT1G17430.1	1136	957	5	6.84334
AT1G07480.1	1972	1793	7.14209	5.21741
AT1G21360.1	1055	876	5	7.47611
AT1G17560.1	880	701	5	9.34247
AT1G76120.1	1714	1535	9	7.6797
AT1G72010.1	1709	1530	21	17.9779
AT1G49440.1	2074	1895	0	0
AT1G71990.1	1432	1253	2	2.09069
AT1G07350.1	1456	1277	100	102.57
AT1G62760.1	939	760	0	0
AT1G76200.1	559	380	110	379.157
AT1G07340.1	1686	1507	0	0
AT1G76190.1	372	193	0	0
AT1G17240.1	2302	2123	1	0.616964
AT1G47960.1	1528	1349	10	9.70952
AT1G76185.1	854	675	2	3.88093
AT1G17230.1	3577	3398	8	3.08373
AT1G77700.1	1071	892	1	1.4684
